,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-06-08 14:56:52,2023-06-01 19:56:09,385,28.0,1994,374,202,15.0,31.0,13780,2023-06-01 19:56:16,2023.06.01,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,38,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-06-08 13:32:05,2023-06-01 13:55:05,251,25.0,205,85,145,3.0,4.0,3013,2023-06-01 13:55:13,2023.06.01,93.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,10,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-06-08 16:31:33,2023-06-02 00:49:44,237,26.0,146,53,145,1.0,2.0,1923,2023-06-01 17:23:48,2023.06.01,92.0,A ranked list of awesome python libraries for web development. Updated weekly.,12,16,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-06-08 14:21:36,2023-06-01 15:40:10,235,27.0,38,23,143,1.0,5.0,733,2023-06-01 15:40:24,2023.06.01,90.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-06-08 14:29:39,2023-06-01 14:22:59,234,26.0,61,23,143,,2.0,669,2023-06-01 14:23:05,2023.06.01,97.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11,15,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-06-08 15:21:42,2023-05-25 15:24:42,268,23.0,38,9,131,1.0,,439,2023-05-25 15:24:47,2023.05.25,92.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-06-08 16:28:06,2023-06-08 16:28:05,175,30.0,10,10,92,1.0,4.0,279,2023-06-04 08:56:57,2023.06.04,64.0,A list of awesome MkDocs projects and plugins.,6,14,True,1,4.0,mkdocs/catalog
7,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-06-01 09:18:51,2023-05-11 08:49:39,150,11.0,3,8,104,,,151,2023-05-01 15:29:45,2023.05.01,25.0,A ranked list of awesome machine learning Rust libraries.,2,13,True,3,6.0,
8,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-06-07 22:30:31,2023-06-07 22:30:31,183,25.0,19,11,86,3.0,,124,2023-06-07 22:30:37,2023.06.07,65.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4,13,True,1,,
9,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-06-05 12:06:12,2021-05-03 18:03:14,111,,88,14,88,8.0,4.0,661,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
