,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-08-10 17:50:30,2023-08-10 17:50:29,408,33.0,2030,377,214,16.0,31.0,14149,2023-08-10 17:50:36,2023.08.10,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,41,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-08-10 17:49:35,2023-08-10 17:49:35,271,26.0,215,88,154,4.0,4.0,3085,2023-08-10 17:49:42,2023.08.10,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,10,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-08-10 17:51:03,2023-08-10 17:51:02,257,28.0,151,51,154,1.0,2.0,1978,2023-08-10 17:51:09,2023.08.10,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,12,17,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-08-10 17:50:08,2023-08-10 17:50:07,255,28.0,39,24,152,1.0,5.0,761,2023-08-10 17:50:12,2023.08.10,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-08-10 17:49:51,2023-08-10 17:49:50,254,26.0,65,23,152,,2.0,705,2023-08-10 17:49:56,2023.08.10,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11,15,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-08-10 17:50:46,2023-08-10 17:50:45,288,25.0,43,9,140,1.0,,475,2023-08-10 17:50:52,2023.08.10,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-08-03 18:42:59,2023-08-03 18:42:58,192,30.0,17,11,107,4.0,6.0,390,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,11,14,True,1,mkdocs/catalog,4.0
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-08-09 23:23:41,2023-08-09 23:23:41,201,25.0,24,11,95,3.0,,133,2023-08-09 23:24:33,2023.08.09,74.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4,14,True,1,,2.0
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-08-07 12:05:13,2021-05-03 18:03:14,111,,94,13,97,8.0,4.0,705,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-08-09 18:25:38,2023-08-09 18:25:37,569,89.0,14,4,22,,2.0,195,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,,3.0
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-08-08 15:01:12,2023-08-08 15:01:12,156,6.0,3,9,106,,,158,2023-08-07 11:50:42,2023.08.01,26.0,A ranked list of awesome machine learning Rust libraries.,2,12,True,3,,5.0
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-08-09 20:16:28,2023-08-08 20:15:29,480,88.0,4,5,575,,,36,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,,2.0
